player_name,career_total_runs,playing_role,batting_style,bowling_style,player_id,field_pos,player_image,full_name,country,date_of_birth,total_runs_test,matches_test,batting_average_test,strike_rate_test,centuries_test,half_centuries_test,wickets_test,economy_test,bowling_average_test,total_runs_odi,matches_odi,batting_average_odi,strike_rate_odi,centuries_odi,half_centuries_odi,wickets_odi,economy_odi,bowling_average_odi,total_runs_t20i,matches_t20i,batting_average_t20i,strike_rate_t20i,centuries_t20i,half_centuries_t20i,wickets_t20i,economy_t20i,bowling_average_t20i,career_total_runs2,career_total_wickets,catches,stumpings,formats_played,played_since_year
Rashid Khan Arman,,,Right hand Bat,Legbreak Googly,22, ,https://www.espncricinfo.com/cricketers/rashid-khan-793463,Player_2,Australia,29-09-2010,7715,312,10.55,116.69,24,6,556,9.35,29.35,837,169,18.18,128.13,18,52,121,3.22,49.26,5735,161,58.28,85.53,25,89,785,7.5,24.9,14287,1462,274,34,T20I,2010
Kagiso Rabada,,,Left hand Bat,Right arm Fast,590, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kagiso%20Rabada.png,Player_3,Pakistan,19-08-2001,8942,63,47.48,132.33,13,80,427,5.39,36.07,4584,185,28.14,86.59,43,86,184,4.15,38.55,7796,120,36.35,83.76,36,78,174,4.79,18.79,21322,785,70,48,T20I,2024
Sarfaraz Naushad Khan,,,Right hand Bat,Legbreak,1424, ,,Player_4,Zimbabwe,20-04-1993,1762,373,47.93,128.2,10,63,727,4.74,26.07,12989,127,22.55,74.16,47,75,31,6.72,18.99,6613,379,37.68,99.93,21,70,243,6.09,42.15,21364,1001,38,32,"Test,ODI,T20I",2009
Marlon Nathaniel Samuels,,,Right hand Bat,Right arm Offbreak,963, ,,Player_5,Zimbabwe,28-06-2007,12112,283,43.92,104.38,31,63,232,9.69,47.29,686,209,44.17,117.22,24,88,761,6.88,41.16,11729,398,55.36,117.47,9,70,268,9.47,22.66,24527,1261,297,35,"T20I,ODI",2009
Shadab Bashir Jakati,,,Left hand Bat,Slow Left arm Orthodox,53, ,,Player_6,Sri Lanka,01-12-1997,7101,120,47.81,59.99,10,1,704,5.56,26.5,11553,280,44.19,69.68,30,53,568,3.23,46.97,1327,261,41.23,146.82,6,28,445,2.3,45.81,19981,1717,400,16,ODI,2005
Marcus Peter Stoinis,,,Right hand Bat,Right arm Medium,73, ,,Player_8,West Indies,15-09-1987,12652,174,33.52,74.19,26,41,725,4.81,21.31,356,18,48.9,60.56,24,19,371,8.28,36.68,10666,311,24.8,137.3,24,33,95,8.84,25.34,23674,1191,89,33,ODI,2024
Rahul Tewatia,,,Left hand Bat,Legbreak,1119, ,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,Player_9,England,28-03-1989,6122,203,35.1,141.11,17,81,662,9.28,39.01,12007,199,52.07,120.65,15,48,655,3.9,39.48,9871,48,35.08,78.42,45,83,172,6.7,23.05,28000,1489,429,11,"ODI,T20I,Test",2011
Rahul Ajay Tripathi,,,Right hand Bat,Right arm Medium,268, ,,Player_10,India,28-05-2011,481,164,16.24,133.83,22,53,439,6.55,47.02,9063,219,38.99,99.95,37,6,595,4.31,49.69,14445,91,53.33,109.14,14,14,405,4.21,38.08,23989,1439,218,4,ODI,2003
Rahul Desraj Chahar,,,Right hand Bat,Legbreak Googly,163, ,,Player_11,Pakistan,06-06-1983,14536,304,29.27,120.94,10,74,501,8.1,23.4,10165,135,40.95,136.99,42,28,55,9.5,20.9,3746,128,49.74,104.67,12,96,154,5.18,46.83,28447,710,106,47,"Test,T20I,ODI",2004
Shahbaz Nadeem,,,Right hand Bat,Slow Left arm Orthodox,186, ,,Player_12,Australia,26-02-1999,153,119,42.17,144.88,20,15,274,8.49,48.99,14539,222,24.14,62.62,48,47,790,8.61,39.35,5684,320,58.14,105.69,41,52,182,7.44,40.99,20376,1246,475,39,"Test,T20I,ODI",2001
Manish Krishnanand Pandey,,,Right hand Bat,Right arm Medium,59, ,,Player_13,West Indies,30-04-2013,7617,43,49.02,53.14,43,17,75,4.73,32.49,4647,2,54.74,117.79,22,92,272,7.58,27.07,2562,27,13.59,122.34,45,16,322,9.13,29.15,14826,669,403,26,"ODI,T20I,Test",2018
Kane Stuart Williamson,,,Right hand Bat,Right arm Offbreak,531, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kane%20Williamson.png,Player_14,Pakistan,17-10-1992,1524,311,20.86,123.62,4,98,438,5.47,48.26,10002,235,11.21,107.21,13,12,463,2.66,38.48,4163,355,23.42,88.17,25,63,288,2.33,36.8,15689,1189,453,39,T20I,2000
Gautam Gambhir,,,Left hand Bat,Legbreak,56, ,https://documents.iplt20.com/playerheadshot/ipl/284/84.png,Player_15,Australia,28-03-2008,2120,155,16.89,83.02,22,58,731,8.79,39.66,4418,341,27.43,98.01,5,2,677,5.35,37.44,3317,147,14.01,81.91,20,83,257,2.57,27.94,9855,1665,391,12,"ODI,Test,T20I",2003
Manoj Kumar Tiwary,,,Right hand Bat,Legbreak Googly,39, ,,Player_16,New Zealand,27-05-1992,2343,366,43.15,140.61,40,89,698,4.91,27.65,10833,227,46.09,99.14,24,1,455,6.47,22.91,2436,327,47.55,135.28,22,60,586,4.6,49.97,15612,1739,95,25,"Test,T20I",2011
Manan Vohra,,,Right hand Bat,Right arm Medium,68, ,,Player_17,New Zealand,25-04-2008,5136,206,10.09,76.67,24,15,288,8.35,24.03,10420,141,14,122.2,22,15,669,3.5,24.62,5769,64,17.04,72.01,43,56,173,3.86,41.96,21325,1130,402,13,ODI,2001
Nathu Bharat Singh,,,Right hand Bat,Right arm Medium,638, ,,Player_18,Afghanistan,25-09-2015,5760,389,18.92,122.49,40,5,539,9.53,27.72,6642,8,19.16,143.77,42,93,248,5.59,37.89,8499,217,14.99,68.02,27,76,329,4.12,37.66,20901,1116,31,31,ODI,2011
Rajat Bhatia,,,Right hand Bat,Right arm Medium fast,40, ,,Player_19,Pakistan,03-11-1998,1240,107,11.45,137.76,9,56,691,6.99,20.98,3391,189,39.46,59.13,11,5,697,6.81,22.1,12188,50,38.08,51.56,37,87,230,3.77,31.54,16819,1618,125,10,Test,2015
Saurabh Sunil Tiwary,,,Left hand Bat, ,1233, ,,Player_20,New Zealand,10-01-1999,60,250,18.34,54.17,21,46,252,7.93,22.6,12370,349,38,51.95,12,44,77,4.62,26.49,13663,304,30.57,71.06,11,36,758,3.57,37.78,26093,1087,146,37,ODI,2001
Mark Andrew Wood,,,Right hand Bat,Right arm Fast,1396, ,,Player_21,Australia,25-01-2006,9130,369,19.07,89.76,18,47,125,8.44,21.35,10542,164,46.95,130.57,35,70,533,8.25,44.73,5918,73,45.76,101.85,23,6,160,3.04,28.93,25590,818,279,15,T20I,2016
Ranganath Vinay Kumar,,,Right hand Bat,Right arm Medium,1242, ,,Player_23,Zimbabwe,13-12-2001,6185,129,30.12,95.49,6,75,36,5.16,43.46,4879,275,16.43,148.67,33,55,272,4.59,33.62,4555,191,31.27,75.44,39,86,142,3.15,30.64,15619,450,439,46,"ODI,T20I,Test",2003
Shaun Edward Marsh,,,Left hand Bat,Slow Left arm Orthodox,541, ,https://cricclubs.com/documentsRep/profilePics/6c5d3a99-b18a-47b6-ba2e-5dae071b3452.png,Player_24,Australia,02-01-1999,12312,292,53.71,76.73,3,59,409,2.41,22.52,5319,290,10.92,111.93,5,70,763,8.71,48.12,2394,188,31.28,57.23,47,77,281,3.64,47.78,20025,1453,208,15,ODI,2005
Sachin Baby,,,Left hand Bat,Right arm Offbreak,6, ,https://www.espncricinfo.com/cricketers/sachin-baby-432783,Player_25,Afghanistan,23-02-2006,13350,19,35.51,71.98,0,76,610,5.22,22.17,13201,52,44.48,115.09,37,97,14,2.83,25.27,6468,11,53.59,124.46,1,67,639,3.97,38.04,33019,1263,119,12,"ODI,Test,T20I",2022
Jayant Yadav,,,Right hand Bat,Right arm Offbreak,525, ,https://www.espncricinfo.com/cricketers/jayant-yadav-447587,Player_26,Pakistan,04-03-1999,7970,281,46.17,63.15,14,3,609,7.39,38.59,2739,174,25.07,69.89,49,31,369,8.7,30.47,4004,238,29.76,125.8,38,20,677,9.46,20.69,14713,1655,273,11,Test,2006
Axar Rajeshbhai Patel,,,Left hand Bat,Slow Left arm Orthodox,70, ,,Player_27,West Indies,23-03-2009,12418,284,15.21,135.71,39,1,126,5.6,24.31,13231,109,41.3,74.03,39,48,303,3.22,37.41,666,359,26.67,149.78,11,60,26,8.05,46.32,26315,455,139,17,"ODI,T20I,Test",2022
Piyush Pramod Chawla,,,Left hand Bat,Legbreak,63, ,,Player_28,Sri Lanka,12-11-2014,11761,0,21.27,107.54,11,89,482,7.99,21.12,10922,202,17.53,115.94,7,12,671,2.66,42.17,5718,80,26.93,140,38,73,245,8.32,26.6,28401,1398,296,28,"T20I,Test,ODI",2014
Hardik Himanshu Pandya,,,Right hand Bat,Right arm Medium fast,30, ,,Player_29,Zimbabwe,14-12-2007,1252,118,45.15,57.64,21,58,167,4.86,23.34,9510,135,33.45,140.97,7,29,204,7.13,46.85,5152,382,19.83,142.61,13,85,486,2.84,25.8,15914,857,342,17,"ODI,T20I,Test",2019
Steven Peter Devereux Smith,,,Right hand Bat,Legbreak Googly,36, ,,Player_30,Bangladesh,24-08-1983,4203,34,12.64,88.26,21,26,591,7.08,47.56,9727,3,35.22,148.24,39,24,112,5.78,47.3,12355,269,53.03,129.82,29,93,646,8.69,27.51,26285,1349,431,45,"T20I,Test,ODI",2011
Shivil Kaushik,,,Right hand Bat,Left arm Wrist spin,55, ,,Player_31,West Indies,28-04-2014,8363,197,34.33,86.77,49,26,293,3.49,44.29,4784,154,39.25,69.8,32,84,679,9.26,42.85,2234,289,17.33,111.55,40,93,201,5.27,36.47,15381,1173,81,1,"ODI,T20I",2004
Praveenkumar Sakat Singh,,,Right hand Bat,Right arm Medium,52, ,,Player_32,South Africa,01-09-1991,9650,244,39.97,68.17,46,78,637,7.99,29.33,10635,171,35.66,63.41,33,59,252,4.91,25.31,6335,47,55.43,62.85,49,79,20,4.1,35.43,26620,909,447,1,T20I,2013
Deepak Lokandersingh Chahar,,,Right hand Bat,Right arm Medium,41, ,,Player_33,Australia,09-12-2000,3549,58,40.11,93.55,16,71,342,6.37,38.99,9964,357,34.78,55.64,43,58,440,4.3,18.79,1236,316,24.17,112.23,42,74,590,6.61,33.73,14749,1372,399,2,"ODI,T20I",2015
Kulwant Khejroliya,,,Left hand Bat,Left arm Medium fast,1429, ,https://www.espncricinfo.com/cricketers/kulwant-khejroliya-1083033,Player_34,South Africa,23-02-2006,4197,324,11.15,83.21,28,6,309,3.63,35.19,11401,46,26.64,136.83,14,84,185,6.01,30.28,1623,208,54.97,55.6,47,85,669,8.58,40.96,17221,1163,207,28,"T20I,ODI,Test",2010
Mitchell John McClenaghan,,,Left hand Bat,Left arm Fast medium,32, ,,Player_35,West Indies,02-01-1994,7009,160,26.11,84.18,45,62,661,4.34,39.67,13126,93,13.56,79.47,35,27,226,5.65,22.53,14763,34,49.54,138.53,18,28,93,8.23,28.13,34898,980,483,7,"T20I,Test",2011
Angelo Davis Mathews,,,Right hand Bat,Right arm Medium,457, ,,Player_36,Afghanistan,11-09-1992,6667,178,41.82,123.9,13,45,527,7.99,39.85,877,47,14.48,50.18,34,57,527,4.76,40.73,1374,118,39.1,98.18,30,24,7,9.12,43.03,8918,1061,406,10,Test,2018
Avesh Khan,,,Right hand Bat,Right arm Fast medium,1286, ,https://www.espncricinfo.com/cricketers/avesh-khan-694211,Player_37,Bangladesh,16-04-1993,2322,205,17.45,72.33,49,62,539,5.86,38.12,2870,239,31.69,72.38,45,19,667,7.55,39.16,7275,64,43.47,119.75,42,57,471,9.43,23.61,12467,1677,469,11,ODI,2016
Jason Jonathan Roy,,,Right hand Bat, ,45, ,,Player_38,Zimbabwe,12-09-1988,9828,11,44.77,114.19,19,11,418,3.73,26.52,11392,346,27.79,84.04,21,33,353,8.08,19.41,11503,314,26.29,55.22,49,13,338,3.9,43.04,32723,1109,422,31,"ODI,Test,T20I",2023
Ashok Bhimchandra Dinda,,,Right hand Bat,Right arm Medium fast,43, ,,Player_39,Zimbabwe,01-03-2001,11307,275,47.3,107.06,49,12,443,9.74,19.25,12336,212,35.81,149.1,22,4,622,8.82,44.77,6359,241,38.71,103.42,42,77,258,5.39,39.24,30002,1323,32,3,"T20I,Test",2006
Shakib Al Hasan,,,Left hand Bat,Slow Left arm Orthodox,579, ,,Player_40,Zimbabwe,03-04-2008,4090,180,59.1,106.81,47,42,684,7.72,32.58,11939,339,25.24,102.35,39,81,0,9.78,25.96,176,35,24.62,80.13,24,65,54,2.12,39.86,16205,738,23,8,"ODI,T20I",2008
Krishnappa Gowtham,,,Right hand Bat,Right arm Offbreak,1448, ,,Player_41,Bangladesh,20-12-1985,6960,241,20.49,116.3,32,16,557,9.66,46.51,11028,323,44.4,70.47,44,59,552,4.13,31.83,13876,251,30.11,78.5,3,53,547,9.03,33.41,31864,1656,60,23,"T20I,ODI",2013
David Andrew Miller,,,Left hand Bat,Right arm Offbreak,72, ,,Player_42,India,24-05-1993,3004,215,51.26,104.84,42,62,235,5.42,36.22,292,138,53.2,83.48,21,42,559,7.73,39.37,9545,242,48.23,88.97,49,76,5,3.24,39.34,12841,799,310,48,ODI,2019
Yusuf Khan Pathan,,,Right hand Bat,Right arm Offbreak,60, ,,Player_43,Bangladesh,14-04-1999,5136,250,36.01,137.93,14,80,438,5.8,44.64,9843,204,24.94,83.03,4,56,419,5.15,31.74,6704,41,22.2,50.06,12,66,376,8.89,20.55,21683,1233,188,15,ODI,2011
Stuart Terence Roger Binny,,,Right hand Bat,Right arm Medium,7, ,,Player_44,Sri Lanka,17-05-1980,329,298,28.67,117.56,11,35,213,9.18,49.73,12823,380,19.65,51.97,30,56,619,7.42,32.12,2928,68,51.94,96.67,35,29,553,4.64,45.25,16080,1385,83,16,"T20I,ODI",2014
Travis Michael Head,,,Left hand Bat,Right arm Offbreak,3,Wicketkeeper,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Travis%20Head.png,Player_45,Bangladesh,28-04-1997,3640,125,16.12,104.7,39,84,84,6.2,23.24,12598,72,15.81,63.52,12,74,160,5.81,20.1,8817,106,28.79,98.66,41,17,49,4.95,19.78,25055,293,224,46,ODI,2011
Sayed Iqbal Abdulla,,,Left hand Bat,Slow Left arm Orthodox,173, ,,Player_46,West Indies,04-07-1989,12086,216,46.78,132.98,19,7,793,7.66,40.14,8728,3,40.81,119.52,27,53,160,9.95,30.85,7617,38,36.61,136.31,36,53,111,2.31,22.76,28431,1064,478,21,T20I,2020
Yuvraj Singh,,,Left hand Bat,Slow Left arm Orthodox,15, ,,Player_47,India,02-12-1994,13808,305,21.79,110.61,29,68,743,4.02,39.58,14214,75,32.19,62.03,19,80,127,7.83,42.48,10846,68,57.1,94.85,2,99,145,4.62,36.46,38868,1015,167,6,"ODI,Test",2020
Swapnil Singh,,,Right hand Bat,Slow Left arm Orthodox,74, ,https://www.espncricinfo.com/cricketers/swapnil-singh-232292,Player_48,Zimbabwe,03-10-1987,7982,284,28.57,79.11,37,89,84,5.57,49.36,2686,328,19.4,73.07,32,44,721,9.62,47.29,7614,179,44.06,86.36,15,20,229,9.11,41.66,18282,1034,185,9,Test,2022
Martin James Guptill,,,Right hand Bat,Right arm Offbreak,760, ,,Player_49,West Indies,19-10-1989,4107,184,13.13,70.71,2,79,488,2.99,49.54,233,76,42.66,85.07,15,85,150,8.68,31.23,11800,11,42.28,149.47,25,52,722,2.2,20.44,16140,1360,374,28,"T20I,Test",2012
Christopher Henry Morris,,,Right hand Bat,Right arm Fast medium,182, ,,Player_50,West Indies,07-05-1996,1341,38,50.07,65.23,27,35,64,3.65,39.97,13520,303,17.42,125.77,28,36,443,9.22,31.55,3715,338,45.58,107.12,39,82,496,5.25,47.46,18576,1003,71,35,"Test,ODI",2008
Lachlan Hammond Ferguson,,,Right hand Bat,Right arm Fast,361, ,,Player_51,Ireland,23-09-2010,11855,222,48.33,139.95,25,27,645,2.01,25.8,10844,255,37.72,108.24,22,83,766,8.52,40.48,4274,203,55.91,97.26,38,15,305,2.25,49.16,26973,1716,73,23,"T20I,ODI,Test",2023
Harshal Vikram Patel,,,Right hand Bat,Right arm Medium,1285, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png,Player_52,England,27-05-1991,8407,183,46.68,121.01,29,92,662,2.31,43.55,14429,101,36.36,118.9,23,47,470,5.67,48.17,8586,35,22.43,99.59,18,27,541,4.97,37.39,31422,1673,384,45,"Test,T20I",2006
Shreyas Gopal,,,Right hand Bat,Legbreak,1449, ,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580,Player_53,India,12-07-2009,338,177,24.97,143.74,12,46,626,9.82,21.42,2374,105,46.71,106.7,33,53,462,4.01,26.55,9360,125,40.66,130.92,45,3,460,3.38,33.4,12072,1548,340,13,Test,2000
Konganda Charamanna Cariappa,,,Right hand Bat,Legbreak,405, ,,Player_54,West Indies,28-09-2001,5895,293,18.67,110.33,12,75,63,3.94,42.98,2272,332,12.76,118.36,6,47,729,4.96,32.08,4971,62,30.02,84.07,14,54,627,4.02,41.72,13138,1419,152,13,"ODI,T20I,Test",2009
Basil Thampi,,,Right hand Bat,Right arm Fast medium,196, ,,Player_55,England,24-05-2019,12254,339,41.88,97.34,1,29,342,7.31,47.13,966,38,54.39,50.28,37,5,29,2.16,43.47,13249,331,10.59,88.92,31,14,225,9.02,28.51,26469,596,95,24,"Test,ODI",2005
Ankit Ramdas Bawne,,,Right hand Bat,Right arm Offbreak,744, ,,Player_56,England,01-04-1995,2708,150,34.81,55.97,36,22,351,8.71,30.25,889,313,45.15,143.09,36,33,472,6.19,37.51,8389,81,16.27,125.59,48,63,58,5.49,33.78,11986,881,52,45,"T20I,Test,ODI",2014
Karn Vinod Sharma,,,Left hand Bat,Legbreak Googly,676, ,,Player_57,India,10-10-1991,11344,383,18.91,117.16,48,15,157,6.41,38.18,3863,274,20.81,61.09,3,62,556,6.04,21.54,968,306,26.25,57.3,20,64,75,4.19,47.32,16175,788,444,21,T20I,2014
Vishnu Vinod,,,Right hand Bat, ,171,Wicketkeeper,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293,Player_58,Ireland,01-03-1997,1750,125,44.3,108.22,37,13,588,3.23,31.76,6154,87,19.17,90.62,33,77,79,6.2,38.09,12100,298,38.25,136.52,0,15,427,6.71,48.58,20004,1094,173,49,"ODI,Test",2008
Krunal Himanshu Pandya,,,Left hand Bat,Slow Left arm Orthodox,28, ,,Player_60,Afghanistan,04-10-2013,2421,307,47.36,73.92,35,70,657,6.8,27.93,8226,368,50.88,93.52,21,22,239,9.29,34.33,4764,239,49.56,108.13,26,63,131,4.08,26.4,15411,1027,457,22,"T20I,ODI,Test",2022
Adam Fraser Milne,,,Right hand Bat,Right arm Fast,448, ,,Player_61,Sri Lanka,23-11-2012,7119,335,47,103.07,25,51,462,7.85,42.39,4542,76,52.15,144.68,4,83,556,3.29,34.93,2504,96,37.67,125.75,22,32,497,6.37,25.44,14165,1515,315,31,"T20I,Test",2000
Bhuvneshwar Kumar Singh,,,Right hand Bat,Right arm Medium,20, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Bhuvneshwar%20Kumar.png,Player_62,Afghanistan,30-06-2013,8901,233,57.52,115.1,10,36,224,8.16,47.96,3523,76,36.02,96.76,49,12,589,4.95,46.04,7643,48,13.69,76.61,46,80,592,3.9,27.53,20067,1405,50,25,"Test,T20I,ODI",2008
Ishan Pranav Kumar Pandey Kishan,,,Left hand Bat, ,347,Wicketkeeper,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ishan%20Kishan.png,Player_63,Bangladesh,21-03-1985,5319,379,20.15,114.46,7,28,312,9.8,48.1,1763,27,53.04,137.49,41,46,336,5.39,32.8,9468,145,24.3,139.03,30,68,304,7.43,32.12,16550,952,376,26,"T20I,ODI,Test",2002
Sunil Philip Narine,,,Left hand Bat,Right arm Offbreak,65, ,,Player_64,Zimbabwe,14-02-1997,6609,374,38.28,106.13,43,66,614,6.59,23.59,3291,244,10.27,131.08,22,43,799,4.88,26.94,6006,124,28.34,147.92,11,68,66,5.93,28.05,15906,1479,252,44,"Test,T20I",2008
Ankit Nagendra Sharma,,,Left hand Bat,Slow Left arm Orthodox,359, ,,Player_65,Sri Lanka,30-01-1982,13400,7,58.98,127.69,39,14,465,4.73,45.99,2488,65,11.76,148.1,14,31,279,8.39,25.39,12359,188,41.09,99.43,20,57,229,8.18,29.97,28247,973,495,11,"ODI,T20I,Test",2019
Zaheer Khan,,,Right hand Bat,Left arm Fast medium,187, ,,Player_66,Bangladesh,09-06-2001,5387,340,18.26,70.5,42,99,87,7.19,41.6,10892,265,55.59,142.65,30,25,115,6.19,45.98,12510,56,13.25,143.69,1,38,332,9.59,37.86,28789,534,72,18,ODI,2024
Amit Mishra,,,Right hand Bat,Legbreak,185, ,,Player_67,West Indies,15-02-2000,11918,128,45.01,122.56,21,46,302,2.55,26.09,1558,381,48.77,139.81,8,52,268,6.58,23.47,14611,348,36.51,50.11,4,76,276,2.93,42.4,28087,846,211,18,"Test,ODI,T20I",2014
Ankit Soni,,,Right hand Bat,Legbreak,726, ,,Player_68,Zimbabwe,29-01-1997,11834,263,39.29,111.97,19,45,679,9.18,20.15,4690,204,32.54,123.16,42,13,334,8.82,31.63,7962,108,55.07,139.42,8,35,583,4.68,41.54,24486,1596,431,33,T20I,2023
Tejas Baroka,,,Right hand Bat,Legbreak Googly,197, ,,Player_69,Australia,03-09-1996,3993,156,39.32,139.61,7,51,434,2.96,26.58,6121,57,47.68,86.7,24,51,311,8.45,23.99,7943,4,45.27,81.1,19,93,720,4.56,44.06,18057,1465,211,31,ODI,2006
Shane Robert Watson,,,Right hand Bat,Right arm Fast medium,5, ,,Player_70,India,11-11-2011,8680,351,44.88,134.72,28,18,681,4.62,47.19,2276,200,57.78,60.61,24,35,52,3.06,42.75,1269,23,49.85,81.15,45,67,783,3.21,19.03,12225,1516,250,28,"T20I,Test,ODI",2003
Mohammed Shami Ahmed,,,Right hand Bat,Right arm Fast,460, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mohammad%20Shami.png,Player_71,Sri Lanka,06-07-1996,8044,357,56.48,81.51,39,76,134,8.53,38.26,12198,224,48.6,118.86,48,7,67,7.71,33.18,1364,220,44.08,72.81,17,86,143,8.48,19.53,21606,344,167,20,ODI,2024
Andrew James Tye,,,Right hand Bat,Right arm Medium fast,351, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andrew%20Tye.png,Player_72,Sri Lanka,17-01-2001,13849,4,49.13,77.62,25,20,49,6.78,41.07,4439,141,52.12,147.87,20,39,693,5.48,29.24,6716,314,20.33,81.7,21,20,250,8.08,43.26,25004,992,262,34,"Test,T20I",2019
Dwayne John Bravo,,,Right hand Bat,Right arm Medium,1393, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Dwayne%20Bravo.png,Player_73,West Indies,21-11-2004,8238,85,12.81,148.17,29,63,431,5.15,26.23,1103,380,48.03,122.66,8,85,33,4.36,29.56,923,293,15.52,71.35,7,62,795,5.88,35.06,10264,1259,330,41,Test,2016
